GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
planify,iso.e02.planify,App,6,12,0,0,3,2,1,2,1,2
planify,iso.e02.planify,sqlEjemplo,191,3,8,0,42,1,6,1,2,1
planify,iso.e02.planify.requests,CreateMeetingRequest,24,69,0,0,12,26,6,13,6,13
planify,iso.e02.planify.requests,InvitationNotificationRequest,17,0,0,0,7,0,5,0,5,0
planify,iso.e02.planify.requests,InspectUserForMeetingsDTO,91,0,0,0,37,0,17,0,17,0
planify,iso.e02.planify.requests,WorkScheduleRequest,0,10,0,0,0,4,0,3,0,3
planify,iso.e02.planify.requests,CandidatesRequest,43,0,0,0,18,0,9,0,9,0
planify,iso.e02.planify.requests,ChangeMeetingStatusRequest,16,0,0,0,7,0,4,0,4,0
planify,iso.e02.planify.requests,CreateAbsenceRequest,32,49,0,0,15,17,8,8,8,8
planify,iso.e02.planify.requests,ChangeMeetingInvitationStatusRequest,7,16,0,0,3,7,2,3,2,3
planify,iso.e02.planify.requests,CandidateToMeetinDTO,77,0,0,0,32,0,17,0,17,0
planify,iso.e02.planify.requests,UserRequest,0,70,0,0,0,22,0,15,0,15
planify,iso.e02.planify.requests,ChangePasswordRequest,0,15,0,0,0,6,0,3,0,3
planify,iso.e02.planify.requests,NotificationDTO,33,0,0,0,14,0,7,0,7,0
planify,iso.e02.planify.requests,CreateAdminRequest,0,16,0,0,0,4,0,2,0,2
planify,iso.e02.planify.requests,RegisterRequest,0,33,0,0,0,12,0,7,0,7
planify,iso.e02.planify.requests,ResponseNotificationRequest,24,0,0,0,10,0,7,0,7,0
planify,iso.e02.planify.requests,LoginRequest,0,15,0,0,0,6,0,3,0,3
planify,iso.e02.planify.controllers,ManageAdministratorController,11,39,0,0,4,8,2,5,2,5
planify,iso.e02.planify.controllers,UserControllerLogin,18,3,0,0,4,1,2,1,2,1
planify,iso.e02.planify.controllers,ManageUsersController,0,105,0,2,0,24,0,12,0,11
planify,iso.e02.planify.controllers,AbsencesController,5,73,1,1,1,16,1,6,0,6
planify,iso.e02.planify.controllers,MeetingController,223,3,0,0,42,1,11,1,11,1
planify,iso.e02.planify.controllers,UserControllerRegister,0,26,0,0,0,6,0,2,0,2
planify,iso.e02.planify.controllers,RecoveryController,0,37,0,0,0,8,0,3,0,3
planify,iso.e02.planify.controllers,WorkScheduleController,0,18,0,0,0,5,0,3,0,3
planify,iso.e02.planify.controllers,NotificationController,28,3,0,0,7,1,3,1,3,1
planify,iso.e02.planify.entities,Meeting.Status,0,21,0,0,0,2,0,1,0,1
planify,iso.e02.planify.entities,Notification,49,9,0,0,21,4,14,1,14,1
planify,iso.e02.planify.entities,MeetingAttendance,49,3,0,0,21,1,14,1,14,1
planify,iso.e02.planify.entities,MeetingAttendance.Role,0,15,0,0,0,2,0,1,0,1
planify,iso.e02.planify.entities,MeetingAttendance.InvitationStatus,0,21,0,0,0,2,0,1,0,1
planify,iso.e02.planify.entities,Credentials,3,21,0,0,1,9,1,6,1,6
planify,iso.e02.planify.entities,Meeting.Location,0,45,0,0,0,2,0,1,0,1
planify,iso.e02.planify.entities,Absence.Type,0,21,0,0,0,2,0,1,0,1
planify,iso.e02.planify.entities,CommonUser,7,46,0,0,3,19,2,11,2,11
planify,iso.e02.planify.entities,Absence,9,39,0,0,3,16,2,11,2,11
planify,iso.e02.planify.entities,AppUser,4,61,0,0,1,25,1,17,1,17
planify,iso.e02.planify.entities,Administrator,0,15,0,0,0,6,0,3,0,3
planify,iso.e02.planify.entities,IpAttempt,35,6,0,0,15,3,10,1,10,1
planify,iso.e02.planify.entities,Meeting,76,59,0,0,17,25,5,17,5,17
planify,iso.e02.planify.entities,Schedule,7,39,0,0,3,17,2,8,2,8
planify,iso.e02.planify.services,ValidateAbsenceService,617,15,68,0,122,4,52,1,18,1
planify,iso.e02.planify.services,JWTService,30,3,0,0,7,1,2,1,2,1
planify,iso.e02.planify.services,ManageAdministratorService,8,94,3,5,1,24,2,9,0,7
planify,iso.e02.planify.services,ManageUsersService,457,34,38,8,103,8,31,7,12,3
planify,iso.e02.planify.services,ValidateUserService,261,306,26,26,59,69,19,29,6,16
planify,iso.e02.planify.services,TokenPasswordChange,2,48,1,1,0,17,1,9,0,9
planify,iso.e02.planify.services,ValidateMeetingService,517,416,49,45,115,90,47,34,20,14
planify,iso.e02.planify.services,NotificationService,346,3,18,0,76,1,30,1,21,1
planify,iso.e02.planify.services,EmailSMTP,9,118,0,0,4,29,0,3,0,3
planify,iso.e02.planify.services,MeetingService,520,3,46,0,124,1,43,1,20,1
planify,iso.e02.planify.services,AbsencesService,50,13,4,0,8,4,4,3,2,3
planify,iso.e02.planify.services,UserServiceLogin,235,8,18,0,53,2,23,1,14,1
planify,iso.e02.planify.services,WorkScheduleService,269,7,28,0,51,2,26,1,12,1
planify,iso.e02.planify.services,EmailSMTP.new Authenticator() {...},0,20,0,0,0,2,0,2,0,2
planify,iso.e02.planify.services,UserServiceRegister,18,33,0,0,5,10,1,2,1,2
planify,iso.e02.planify.services,IpBlockService,95,3,12,0,23,1,10,1,4,1
planify,iso.e02.planify.services,RecoveryPasswordService,27,89,3,9,8,19,3,6,0,3
planify,iso.e02.planify.config,SystemPropertiesConfig,7,87,0,0,2,16,1,1,1,1
planify,iso.e02.planify.security,IpBlockInterceptor,16,6,2,0,5,3,2,1,1,1
planify,iso.e02.planify.security,WebConfig,0,126,0,0,0,16,0,3,0,3
planify,iso.e02.planify.security,ServerConfig,17,19,0,0,5,3,1,4,1,4
planify,iso.e02.planify.security,JWTInterceptor,194,11,18,0,27,4,13,1,4,1
planify,iso.e02.planify.security,ServerConfig.new TomcatServletWebServerFactory() {...},21,6,0,0,7,1,1,1,1,1
